"VCCPSINTFP (uV)","VCCPSINTFP (uA)","VCCINTLP (uV)","VCCINTLP (uA)","VCCPSAUX (uV)","VCCPSAUX (uA)","VCCPSPLL (uV)","VCCPSPLL (uA)","MGTRAVCC (uV)","MGTRAVCC (uA)","MGTRAVTT (uV)","MGTRAVTT (uA)","VCCPSDDR (uV)","VCCPSDDR (uA)","VCCOPS (uV)","VCCOPS (uA)","VCCOPS3 (uV)","VCCOPS3 (uA)","VCCPSDDRPLL (uV)","VCCPSDDRPLL (uA)","VCCINT (uV)","VCCINT (uA)","VCCBRAM (uV)","VCCBRAM (uA)","VCCAUX (uV)","VCCAUX (uA)","VCC1V2 (uV)","VCC1V2 (uA)","VCC3V3 (uV)","VCC3V3 (uA)","VADJ_FMC (uV)","VADJ_FMC (uA)","MGTAVCC (uV)","MGTAVCC (uA)","MGTAVTT (uV)","MGTAVTT (uA)","PS Power(W)","PL Power(W)","MGT Power(W)","Total Power(W)"
845,1384,849,320,1818,10,1202,29,850,98,1812,15,1191,184,1795,1,1822,0,1816,24,849,963,848,42,1797,155,1201,21,3293,8,1795,0,897,33,1201,18,1.75693,1.1833,0.188043,3.12827
844,1448,849,320,1818,9,1202,29,850,98,1812,15,1192,156,1793,0,1822,0,1816,24,847,958,850,42,1798,155,1201,21,3292,7,1795,0,897,33,1200,18,1.77455,1.17408,0.184725,3.13335
844,1452,849,321,1817,10,1202,29,850,98,1812,15,1191,156,1793,1,1822,0,1815,24,847,966,850,42,1798,155,1201,21,3293,6,1795,0,898,33,1201,18,1.7804,1.17757,0.18149,3.13946
844,1463,849,320,1818,10,1201,29,850,98,1812,15,1192,154,1793,1,1822,0,1816,24,847,965,848,42,1798,155,1201,21,3293,9,1795,0,897,33,1200,18,1.78661,1.18652,0.191318,3.16445
844,1460,849,320,1818,10,1202,29,850,98,1812,15,1192,158,1793,1,1821,0,1815,24,849,963,848,42,1798,155,1201,21,3293,8,1795,0,897,33,1201,18,1.78885,1.18346,0.188043,3.16036
844,1460,849,320,1818,10,1201,29,850,98,1812,15,1192,157,1793,0,1822,0,1816,24,847,962,850,42,1798,155,1201,22,3293,7,1795,0,898,33,1200,18,1.78766,1.17868,0.184765,3.1511
844,1453,850,320,1818,10,1202,29,850,98,1812,15,1192,162,1793,0,1821,0,1815,24,847,963,850,42,1798,155,1201,21,3293,8,1795,0,898,34,1200,18,1.78803,1.18162,0.188956,3.15861
844,1459,849,321,1818,10,1202,29,850,98,1812,15,1192,164,1793,1,1822,0,1816,24,847,958,850,42,1798,155,1201,21,3292,7,1796,0,898,33,1200,18,1.79604,1.17408,0.184758,3.15487
844,1455,849,320,1818,10,1202,29,850,98,1812,15,1192,164,1793,0,1822,0,1815,24,847,960,850,42,1798,155,1201,22,3292,8,1795,0,898,33,1200,18,1.79179,1.18027,0.18805,3.1601
844,1456,849,320,1817,10,1202,29,850,98,1812,15,1192,165,1795,0,1822,0,1816,24,847,962,850,42,1797,155,1201,22,3293,8,1795,0,897,33,1201,18,1.79384,1.18182,0.188043,3.16369
844,1453,849,320,1817,10,1202,29,850,98,1812,15,1192,161,1793,0,1822,0,1815,24,847,963,850,42,1798,155,1200,21,3293,8,1795,0,897,33,1200,18,1.78651,1.18159,0.188025,3.15613
844,1456,850,321,1820,10,1201,29,850,98,1812,15,1192,159,1793,0,1822,0,1816,24,849,958,848,42,1797,155,1201,22,3293,7,1795,0,897,33,1200,17,1.78786,1.17697,0.183532,3.14835
844,1458,850,320,1818,10,1201,29,850,98,1811,15,1191,168,1795,1,1822,0,1816,24,847,965,850,42,1797,155,1201,21,3293,8,1795,0,897,33,1201,18,1.79923,1.18315,0.188028,3.17042
843,1463,850,320,1818,10,1202,29,850,98,1812,15,1192,164,1793,1,1821,0,1816,24,847,965,848,42,1797,155,1200,22,3292,7,1795,0,897,33,1200,18,1.79742,1.18095,0.184725,3.16309
844,1452,849,321,1818,10,1202,29,850,98,1812,15,1192,160,1795,1,1822,0,1815,24,849,963,850,42,1798,155,1201,22,3293,8,1793,0,897,33,1200,18,1.78533,1.18474,0.188025,3.1581
844,1455,849,320,1818,10,1201,29,850,98,1812,15,1192,162,1793,0,1821,0,1816,24,849,965,850,42,1798,156,1201,21,3292,8,1795,0,898,33,1200,17,1.7894,1.18703,0.18685,3.16328
843,1455,849,320,1818,10,1202,29,850,98,1812,15,1192,156,1793,0,1822,0,1816,24,849,961,848,42,1798,156,1201,21,3292,8,1795,0,897,33,1201,18,1.78082,1.18355,0.188035,3.1524
843,1454,849,321,1818,10,1201,29,850,98,1811,15,1192,164,1795,1,1822,0,1815,25,849,967,850,42,1798,156,1201,21,3292,6,1795,0,897,33,1200,18,1.79212,1.18214,0.181418,3.15568
844,1456,849,320,1818,10,1201,29,850,98,1812,15,1192,156,1795,0,1822,0,1815,24,847,962,848,42,1798,155,1201,21,3293,8,1795,0,897,34,1200,18,1.78306,1.18069,0.188922,3.15267
843,1453,849,320,1818,9,1202,29,850,98,1812,15,1192,161,1793,0,1821,0,1815,24,849,960,848,42,1797,155,1201,22,3293,8,1795,0,897,33,1200,18,1.78325,1.18196,0.188025,3.15323
843,1454,849,321,1818,10,1202,29,850,97,1812,15,1192,159,1793,1,1822,0,1815,24,849,968,848,42,1797,156,1201,22,3293,7,1795,0,897,33,1200,18,1.78438,1.18725,0.183882,3.15551
843,1464,849,321,1818,10,1201,29,850,98,1812,16,1193,161,1795,0,1822,0,1815,24,849,965,850,42,1797,155,1200,21,3293,7,1793,0,897,33,1200,18,1.79532,1.18177,0.186544,3.16364
844,1455,849,321,1818,10,1202,29,850,98,1812,15,1192,159,1793,0,1822,0,1816,24,847,963,850,42,1798,155,1201,21,3293,8,1793,1,897,33,1200,18,1.7867,1.18162,0.188025,3.15634
844,1454,849,320,1818,10,1201,29,850,98,1812,15,1192,164,1795,1,1822,0,1816,24,849,966,848,42,1798,155,1201,21,3293,7,1795,0,897,33,1200,19,1.79094,1.18271,0.185932,3.15958
844,1458,850,320,1817,10,1202,29,850,98,1812,15,1192,162,1793,0,1822,0,1815,24,849,961,848,42,1797,155,1201,21,3295,8,1795,0,897,33,1200,18,1.79224,1.18162,0.188041,3.16191
844,1453,850,320,1818,10,1202,29,850,98,1812,15,1192,152,1793,0,1821,0,1816,24,847,963,848,42,1798,155,1201,21,3293,8,1795,0,897,33,1200,18,1.77614,1.18153,0.188025,3.14569
844,1452,850,321,1818,10,1202,29,850,98,1812,15,1192,162,1793,0,1822,1,1816,24,847,961,848,42,1797,156,1201,21,3293,8,1795,0,897,33,1200,19,1.78806,1.18148,0.189225,3.15877
844,1457,849,321,1818,10,1202,29,850,98,1812,15,1192,159,1793,0,1822,0,1815,24,847,965,848,43,1798,156,1201,22,3292,7,1795,0,898,33,1200,18,1.78836,1.18377,0.184758,3.15689
844,1459,849,321,1818,10,1202,29,850,98,1812,15,1192,158,1793,1,1822,0,1815,24,847,966,848,42,1798,155,1201,22,3293,8,1795,0,897,33,1200,18,1.78886,1.18527,0.188025,3.16216
844,1461,849,320,1817,10,1201,29,850,98,1812,15,1191,167,1795,0,1821,0,1815,24,847,965,850,42,1798,155,1201,22,3292,7,1795,0,898,34,1200,18,1.80022,1.18121,0.185656,3.16709
844,1455,849,321,1818,10,1201,29,850,98,1812,16,1192,158,1795,1,1822,0,1815,24,849,961,848,42,1798,155,1201,21,3293,7,1795,0,897,33,1200,18,1.78545,1.17847,0.186544,3.15047
844,1458,850,321,1818,10,1202,29,850,98,1812,15,1192,169,1795,1,1822,0,1815,24,847,963,850,42,1797,155,1201,21,3293,7,1796,0,897,33,1200,18,1.80145,1.17817,0.184732,3.16435
844,1460,850,320,1817,9,1201,29,850,99,1812,15,1193,152,1795,0,1821,0,1816,24,847,963,848,42,1797,155,1201,21,3293,7,1795,0,898,33,1200,18,1.78034,1.17808,0.185615,3.14404
844,1458,850,320,1818,10,1202,29,850,98,1812,16,1192,158,1793,1,1822,0,1815,24,847,961,848,42,1798,155,1201,22,3293,7,1795,0,897,33,1200,18,1.78749,1.17775,0.186544,3.15178
843,1462,850,321,1818,10,1202,29,850,98,1812,15,1192,160,1795,0,1822,0,1815,24,849,961,848,42,1797,155,1201,21,3292,7,1795,0,897,33,1200,18,1.79263,1.17831,0.184725,3.15566
844,1458,849,321,1818,10,1201,29,850,98,1812,15,1192,160,1795,0,1822,0,1815,24,847,961,850,42,1798,155,1201,21,3293,8,1795,0,897,33,1200,18,1.79037,1.17992,0.188025,3.15832
843,1456,849,321,1818,10,1202,29,850,98,1811,15,1192,155,1795,0,1822,0,1816,24,847,961,848,42,1798,155,1201,21,3292,7,1795,0,897,33,1200,18,1.78132,1.17654,0.18471,3.14257
844,1464,849,321,1818,9,1201,29,851,98,1812,15,1192,165,1795,1,1822,0,1815,24,847,965,848,42,1797,155,1202,21,3293,7,1795,0,897,33,1200,18,1.79958,1.1798,0.18483,3.16421
844,1453,850,321,1818,10,1202,29,850,98,1811,15,1192,161,1793,1,1822,0,1816,24,847,963,850,42,1798,155,1200,21,3293,7,1795,0,898,33,1200,18,1.78772,1.1783,0.18475,3.15077
843,1463,849,320,1817,10,1201,29,850,98,1811,15,1192,163,1793,0,1821,0,1816,24,847,968,848,42,1797,155,1201,22,3292,7,1795,0,898,33,1200,18,1.79587,1.18351,0.184743,3.16412
844,1452,850,320,1818,10,1201,29,850,98,1812,15,1191,164,1793,1,1822,0,1816,24,847,966,848,42,1798,155,1202,21,3292,7,1795,0,897,33,1200,18,1.7894,1.18079,0.184725,3.15492
844,1457,850,320,1817,10,1201,29,850,98,1812,16,1192,155,1795,0,1821,0,1816,24,849,965,850,42,1797,155,1201,22,3292,7,1793,0,897,33,1200,18,1.78305,1.18299,0.186537,3.15257
843,1454,850,321,1817,10,1202,29,850,98,1812,15,1193,161,1793,1,1821,0,1815,25,847,962,850,42,1798,155,1201,22,3292,9,1795,0,897,33,1200,18,1.78905,1.18525,0.191309,3.16561
844,1452,850,320,1818,10,1202,29,850,98,1811,15,1191,168,1795,0,1822,0,1816,25,849,966,848,42,1797,155,1202,21,3293,7,1795,0,897,33,1200,18,1.79601,1.18258,0.184717,3.16331
843,1459,850,320,1818,10,1202,29,851,98,1811,15,1192,152,1793,1,1821,0,1816,24,847,960,848,42,1798,156,1201,21,3292,8,1795,0,897,33,1200,17,1.77974,1.18078,0.1869,3.14742
843,1460,849,320,1818,10,1202,29,850,98,1812,15,1192,165,1793,1,1821,0,1816,25,847,965,848,42,1798,155,1201,21,3293,7,1795,0,898,33,1200,18,1.79758,1.17993,0.184765,3.16228
844,1461,850,321,1818,10,1202,29,850,98,1812,15,1191,165,1795,0,1822,0,1815,24,847,962,848,42,1797,155,1201,22,3293,8,1795,0,897,33,1200,18,1.79905,1.18173,0.188025,3.1688
843,1454,850,321,1818,10,1201,29,850,98,1812,15,1192,166,1795,1,1821,1,1816,24,847,965,850,42,1797,155,1201,21,3292,7,1795,0,898,33,1200,18,1.79304,1.17985,0.184758,3.15765
