"PS Power(W)","PL Power(W)","MGT Power(W)","Total Power(W)"
1.82498,1.12555,0.182682,3.13321
1.78512,1.12927,0.184779,3.09916
1.78398,1.12768,0.18358,3.09524
1.79347,1.13098,0.184783,3.10924
1.78436,1.13067,0.188043,3.10307
1.78753,1.12763,0.183896,3.09906
1.78729,1.13515,0.188043,3.11048
1.78396,1.1334,0.185932,3.10329
1.78743,1.13255,0.183882,3.10386
1.78365,1.13325,0.187175,3.10407
1.78126,1.13504,0.187208,3.10351
1.79673,1.13101,0.183951,3.11168
1.78312,1.1331,0.186825,3.10304
1.78332,1.12811,0.1839,3.09533
1.79242,1.13133,0.186278,3.11002
1.79226,1.12911,0.183933,3.10531
1.7835,1.1331,0.187226,3.10382
1.78347,1.13196,0.185741,3.10117
1.78329,1.13169,0.187209,3.10219
1.78625,1.13351,0.185708,3.10547
1.79359,1.13499,0.188076,3.11666
1.7984,1.12933,0.184732,3.11246
1.79419,1.13266,0.188076,3.11493
1.78348,1.12622,0.186278,3.09598
1.78195,1.13457,0.188025,3.10455
1.78841,1.13165,0.182985,3.10304
1.78225,1.12566,0.181457,3.08937
1.78787,1.13255,0.183915,3.10434
1.77775,1.13098,0.184881,3.09361
1.79194,1.13085,0.185708,3.1085
1.79455,1.13512,0.186278,3.11595
1.78583,1.12822,0.183915,3.09796
1.78334,1.13454,0.188124,3.106
1.78744,1.13148,0.187258,3.10619
1.79077,1.13479,0.187208,3.11277
1.78554,1.13017,0.183882,3.0996
1.78833,1.13236,0.186392,3.10708
1.78776,1.13185,0.1839,3.10352
1.78975,1.1298,0.1839,3.10346
1.77771,1.12737,0.186577,3.09166
1.79306,1.12651,0.182478,3.10205
1.78937,1.13388,0.189837,3.11309
1.78918,1.13016,0.185727,3.10506
1.80093,1.13227,0.187191,3.12038
1.78894,1.1294,0.180616,3.09896
1.7941,1.13194,0.183835,3.10987
1.80686,1.1297,0.18805,3.12461
1.79485,1.13101,0.184783,3.11064
1.79517,1.1298,0.183933,3.10891
1.78583,1.13316,0.186313,3.1053
1.7841,1.13317,0.184732,3.102
1.79076,1.13499,0.187175,3.11293
1.78419,1.12895,0.184583,3.09772
1.78947,1.12841,0.188041,3.10593
1.79111,1.1265,0.184815,3.10243
1.78722,1.13756,0.188043,3.11282
1.78524,1.13661,0.18801,3.10986
1.79145,1.13739,0.193246,3.12208
1.79012,1.1298,0.183915,3.10384
1.90374,1.12695,0.181439,3.21213
1.84641,1.13404,0.188017,3.16846
1.85213,1.13523,0.18805,3.17541
1.84029,1.12896,0.183915,3.15317
1.81689,1.13839,0.186923,3.1422
1.78568,1.13262,0.188026,3.10632
1.77976,1.12831,0.181839,3.08991
1.78841,1.13077,0.185965,3.10515
1.78009,1.13282,0.186847,3.09975
1.79086,1.12578,0.180574,3.09721
1.81758,1.13477,0.186278,3.13863
1.92025,1.13694,0.187175,3.24437
1.91294,1.13426,0.183867,3.23107
1.92194,1.13244,0.18363,3.23802
1.93061,1.12989,0.184732,3.24523
1.92382,1.13024,0.18475,3.23881
1.91344,1.12846,0.184732,3.22663
1.91415,1.1333,0.1839,3.23135
1.91863,1.12501,0.180589,3.22423
1.92178,1.13655,0.190504,3.24883
1.92243,1.1326,0.187208,3.24224
1.92308,1.13594,0.1839,3.24292
1.92468,1.13198,0.18801,3.24467
1.92097,1.13311,0.18819,3.24228
1.91904,1.1292,0.183867,3.23211
1.91977,1.13047,0.181439,3.23168
1.91808,1.13781,0.186825,3.24272
1.91495,1.13101,0.18475,3.2307
1.92522,1.13311,0.189904,3.24824
1.9152,1.13394,0.188025,3.23717
1.92099,1.13528,0.188375,3.24465
1.91983,1.12991,0.18382,3.23356
1.9236,1.12905,0.183003,3.23565
1.92151,1.13319,0.184732,3.23944
1.92174,1.13916,0.188058,3.24895
1.92419,1.13619,0.183882,3.24427
1.91152,1.13669,0.184732,3.23294
1.90749,1.13016,0.184765,3.22241
1.92524,1.13162,0.183882,3.24074
1.92958,1.13091,0.187014,3.2475
1.92687,1.13174,0.184765,3.24337
1.92591,1.13054,0.187193,3.24364
1.91156,1.12651,0.181442,3.21951
1.92791,1.13392,0.187208,3.24905
1.91766,1.13244,0.184732,3.23484
1.93272,1.13223,0.188076,3.25302
1.84734,1.13753,0.188174,3.17305
1.85222,1.13394,0.189837,3.176
1.77634,1.13288,0.184735,3.09395
1.78873,1.13188,0.180686,3.10129
1.78783,1.13345,0.188076,3.10935
1.78909,1.12821,0.181472,3.09877
1.78009,1.12803,0.18572,3.09384
1.79021,1.13608,0.184743,3.11103
1.78005,1.1298,0.183565,3.09342
1.79312,1.13225,0.187146,3.11252
1.78744,1.12954,0.184823,3.10181
1.78758,1.12657,0.183853,3.09801
1.79917,1.13225,0.185913,3.11734
1.78175,1.13619,0.188058,3.106
1.78939,1.1316,0.18475,3.10574
1.79217,1.13491,0.188025,3.11511
1.78414,1.13432,0.188025,3.10648
1.7894,1.13424,0.18801,3.11165
1.78924,1.13063,0.183882,3.10375
